[2025-11-14 13:13:29.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-11-14 13:13:29.554] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-11-14 13:13:29.554] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-11-14 13:13:29.560] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-11-14 13:13:29.560] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-11-14 13:13:29.572] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-11-14 13:13:29.573] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-11-14 13:13:29.577] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-11-14 13:13:29.578] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-11-14 13:13:29.599] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-11-14 13:13:29.599] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-11-14 13:13:29.615] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-11-14 13:13:29.615] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-11-14 13:13:29.620] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-11-14 13:13:29.620] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-11-14 13:13:29.632] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2025-11-14 13:13:29.632] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2025-11-14 13:13:29.648] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-11-14 13:13:29.648] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-11-14 13:13:29.669] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-11-14 13:13:29.669] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-11-14 13:13:29.688] [info]  Splash.updateCountdownSeconds: undefined
